,reaction_expression
MAR08537,-1.0
MAR08541,-1.0
MAR08542,-1.0
MAR08543,-1.0
MAR08544,-1.0
MAR08630,-1.0
MAR08540,-1.0
MAR03206,36.1
MAR03208,9.8
MAR03213,19.5
MAR03215,17.6
MAR03747,4.9
MAR03744,10.7
MAR03757,151.3
MAR03761,37.1
MAR03777,4.9
MAR03778,10.7
MAR03795,37.1
MAR04797,213.79999999999998
MAR06417,22.4
MAR06419,5.9
MAR06420,22.4
MAR06421,5.9
MAR06422,22.4
MAR06923,4.9
MAR03765,10.7
MAR06924,-1.0
MAR06925,191.40000000000006
MAR06926,12.7
MAR06927,12.7
MAR08088,3.9
MAR08787,47.8
MAR03743,-1.0
MAR03940,-1.0
MAR04214,3.9
MAR04216,5.9
MAR04218,2.0
MAR04219,5.9
MAR04220,-1.0
MAR04222,7.8
MAR04224,2.0
MAR04225,2.0
MAR04227,43.9
MAR04231,-1.0
MAR04232,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,15.6
MAR04244,7.8
MAR04245,-1.0
MAR04246,7.8
MAR04248,-1.0
MAR06707,-1.0
MAR06708,-1.0
MAR06709,-1.0
MAR06711,2.0
MAR06712,-1.0
MAR06713,13.7
MAR06714,213.79999999999998
MAR06715,70.2
MAR06716,3.9
MAR06717,5.9
MAR06718,-1.0
MAR06719,13.7
MAR06720,-1.0
MAR06721,-1.0
MAR06722,-1.0
MAR06723,957.1999999999999
MAR06725,101.5
MAR06726,-1.0
MAR06727,33.2
MAR06728,-1.0
MAR06729,-1.0
MAR06730,70.2
MAR06731,-1.0
MAR06734,-1.0
MAR06735,70.2
MAR06736,70.2
MAR06738,-1.0
MAR06739,70.2
MAR06740,-1.0
MAR06741,-1.0
MAR06742,-1.0
MAR06743,-1.0
MAR06744,-1.0
MAR06745,13.7
MAR06746,70.2
MAR06747,13.7
MAR06748,6.9
MAR06749,6.9
MAR06750,70.2
MAR06751,13.7
MAR06752,13.7
MAR06753,6.9
MAR06754,6.9
MAR06755,70.2
MAR06756,116.1
MAR06757,70.2
MAR06758,15.7
MAR06759,-1.0
MAR06760,6.9
MAR06761,6.9
MAR06762,70.2
MAR06763,70.2
MAR06764,13.7
MAR06765,-1.0
MAR06766,6.9
MAR06767,6.9
MAR06768,101.5
MAR06770,-1.0
MAR06771,33.2
MAR06772,-1.0
MAR06774,-1.0
MAR06776,18.5
MAR06778,34.2
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,-1.0
MAR06788,72.2
MAR06789,15.7
MAR06790,6.9
MAR06791,6.9
MAR06792,-1.0
MAR06798,3.9
MAR06799,3.9
MAR06800,3.9
MAR06801,3.9
MAR06802,-1.0
MAR06803,-1.0
MAR06806,-1.0
MAR06807,-1.0
MAR06808,415.7
MAR06811,957.1999999999999
MAR06813,411.8
MAR06814,4.9
MAR06815,957.1999999999999
MAR06817,4.9
MAR06818,-1.0
MAR06819,4.9
MAR06820,957.1999999999999
MAR06822,-1.0
MAR06823,4.9
MAR06824,957.1999999999999
MAR06826,8.8
MAR06827,8.8
MAR06828,3.9
MAR06829,29.299999999999997
MAR06830,3.9
MAR06831,2.0
MAR06834,8.8
MAR06835,8.8
MAR06836,3.9
MAR06837,3.9
MAR06838,2.9
MAR06839,2.0
MAR06840,8.8
MAR06841,8.8
MAR06842,3.9
MAR06843,3.9
MAR06844,2.9
MAR06845,2.0
MAR06848,8.8
MAR06849,8.8
MAR06850,2.9
MAR06851,2.0
MAR06854,8.8
MAR06855,8.8
MAR06874,-1.0
MAR06875,-1.0
MAR06876,-1.0
MAR06877,-1.0
MAR06878,-1.0
MAR06879,-1.0
MAR06880,-1.0
MAR06881,-1.0
MAR06882,-1.0
MAR06883,957.1999999999999
MAR06885,4.9
MAR06886,957.1999999999999
MAR06888,1.0
MAR06889,-1.0
MAR07628,415.7
MAR07756,-1.0
MAR08539,-1.0
MAR08794,-1.0
MAR08795,-1.0
MAR08796,-1.0
MAR03875,346.5
MAR03877,27.3
MAR03879,-1.0
MAR03881,17.6
MAR03912,101.5
MAR03917,55.6
MAR03919,1.0
MAR03920,17.6
MAR03922,1.0
MAR03928,61.5
MAR03995,55.6
MAR03996,-1.0
MAR04072,77.1
MAR04189,2.9
MAR04302,17.6
MAR04323,-1.0
MAR05381,2.0
MAR05385,6.8
MAR05386,48.8
MAR05387,10.7
MAR05388,108.3
MAR05389,108.3
MAR05390,-1.0
MAR05391,-1.0
MAR05418,1.0
MAR05419,1.0
MAR06515,61.5
MAR06518,61.5
MAR06519,95.6
MAR06520,61.5
MAR06523,422.5
MAR08062,2.0
MAR08066,101.5
MAR08067,36.1
MAR08068,148.3
MAR08069,253.7
MAR08641,77.1
MAR08682,-1.0
MAR08683,17.6
MAR08684,36.1
MAR08685,-1.0
MAR03868,9.8
MAR03869,9.8
MAR03889,5.9
MAR03933,41.0
MAR03937,92.7
MAR04116,1817.9999999999998
MAR04120,1817.9999999999998
MAR04121,1817.9999999999998
MAR04175,36.1
MAR04176,36.1
MAR04324,13.7
MAR04326,8.8
MAR04328,101.6
MAR04329,101.6
MAR04708,16.6
MAR08769,36.1
MAR08770,16.6
MAR08771,-1.0
MAR04078,1.0
MAR04079,213.79999999999998
MAR04174,-1.0
MAR04330,3.9
MAR04347,2.0
MAR04425,29.3
MAR04427,15.6
MAR04688,213.79999999999998
MAR04689,40.0
MAR04735,1.0
MAR07991,-1.0
MAR07992,2.0
MAR07993,213.79999999999998
