GeneID,RPKM_zero,RPKM_final
ENSG00000164162,39.99717239,35.22627272
ENSG00000141552,35.47911065,28.66796991
ENSG00000129055,30.58796,28.72600093
ENSG00000110200,44.79888875,45.36774428
ENSG00000166295,10.92853898,12.45421978
ENSG00000176248,24.01804863,24.98925247
ENSG00000053900,18.32549646,18.02271303
ENSG00000089053,11.34577411,7.036079277
ENSG00000196510,16.44671746,20.49163193
ENSG00000214274,38.42100428,34.86589986
ENSG00000013523,8.534016656,5.566779125
ENSG00000174606,12.47432876,9.747398034
ENSG00000154188,13.5893988,23.64316626
ENSG00000091879,8.866304687,9.180266926
ENSG00000101280,10.91820611,8.726801056
ENSG00000116194,17.61357851,13.89953315
ENSG00000136859,15.82296797,17.31847295
ENSG00000132855,18.91258502,17.54190259
ENSG00000167772,32.08137652,39.59368762
ENSG00000187151,19.47284273,19.26093805
ENSG00000130812,32.12957163,40.49017479
ENSG00000171819,20.14909591,19.45362027
ENSG00000227059,31.34518083,34.69641654
ENSG00000029534,4.906991308,3.420960613
ENSG00000145362,5.003155866,5.291132281
ENSG00000151150,4.06721669,4.821105491
ENSG00000151687,18.61317574,20.80634395
ENSG00000166839,13.53530095,15.74956583
ENSG00000189045,29.35714789,39.89680025
ENSG00000132623,8.771686822,10.79871895
ENSG00000153930,5.25473045,6.684817459
ENSG00000185722,10.51263251,12.03005489
ENSG00000154122,7.238489788,5.40333317
ENSG00000131503,6.693828892,4.861439638
ENSG00000001629,12.15827801,8.449094845
ENSG00000170209,25.69222724,23.12880029
ENSG00000176915,3.835723377,5.993219603
ENSG00000144504,15.81742882,13.53219122
ENSG00000106524,24.3580579,15.61264575
ENSG00000164331,33.34142928,30.57981331
ENSG00000148677,28.18567351,33.73833505
ENSG00000088448,20.74246808,17.05548372
ENSG00000167522,3.483250149,3.008547945
ENSG00000101745,3.333843325,2.057192325
ENSG00000076513,12.60339037,15.53844246
