,reaction_expression
MAR04222_f,11.9
MAR04224,-1.0
MAR04225,-1.0
MAR04227,38.3
MAR04231,-1.0
MAR04232_f,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,8.5
MAR04244,11.9
MAR04245,-1.0
MAR04246_f,11.9
MAR04248_f,-1.0
MAR06707,-1.0
MAR06708_f,-1.0
MAR06709_f,-1.0
MAR06711,-1.0
MAR06712_f,-1.0
MAR06713,-1.0
MAR06714,163.5
MAR06715,90.2
MAR06716,-1.0
MAR06717,-1.0
MAR06718,-1.0
MAR06719,-1.0
MAR06720,-1.0
MAR06721,-1.0
MAR06722_f,-1.0
MAR06723_f,1358.6000000000001
MAR06725_f,43.3
MAR06726,-1.0
MAR06727,247.2
MAR06728,-1.0
MAR06729,-1.0
MAR06730,90.2
MAR06731,-1.0
MAR06734_f,-1.0
MAR06735,90.2
MAR06736,90.2
MAR06738_f,-1.0
MAR06739,90.2
MAR06740,-1.0
MAR06741,-1.0
MAR06742_f,-1.0
MAR06743,-1.0
MAR06744_f,-1.0
MAR06745,-1.0
MAR06746,90.2
MAR06747,-1.0
MAR06748,-1.0
MAR06749,-1.0
MAR06750,90.2
MAR06751,-1.0
MAR06752,-1.0
MAR06753,-1.0
MAR06754,-1.0
MAR06755_f,90.2
MAR06756_f,57.2
MAR06757,90.2
MAR06758,-1.0
MAR06759_f,-1.0
MAR06760,-1.0
MAR06761,-1.0
MAR06762,90.2
MAR06763,90.2
MAR06764,-1.0
MAR06765_f,-1.0
MAR06766,-1.0
MAR06767,-1.0
MAR06768,43.3
MAR06770,-1.0
MAR06771,247.2
MAR06772,-1.0
MAR06774,-1.0
MAR06776,10.8
MAR06778,-1.0
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,-1.0
MAR06788,90.2
MAR06789,-1.0
MAR06790,-1.0
MAR06791,-1.0
MAR06792_f,-1.0
MAR06798_f,-1.0
MAR06799,-1.0
MAR06800_f,-1.0
MAR06801,-1.0
MAR06802,-1.0
MAR06803,-1.0
MAR06806_f,-1.0
MAR06807_f,-1.0
MAR06808,191.4
MAR06811_f,1358.6000000000001
MAR06813,191.4
MAR06814_f,7.3
MAR06815_f,1358.6000000000001
MAR06817_f,7.3
MAR06818,-1.0
MAR06819_f,7.3
MAR06820_f,1358.6000000000001
MAR06822,-1.0
MAR06823_f,7.3
MAR06824_f,1358.6000000000001
MAR06826_f,-1.0
MAR06827_f,-1.0
MAR06828,-1.0
MAR06829,27.6
MAR06830,-1.0
MAR06831,-1.0
MAR06834_f,-1.0
MAR06835_f,-1.0
MAR06836_f,-1.0
MAR06837,-1.0
MAR06838,-1.0
