,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7
ENSG00000129167,1.1358988657594442,1.0762144055549914,1.1396292003922872,1.1264367816605594,1.1711292200925596,1.173498781201255,1.3903067198120396
ENSG00000139287,0.8641011342405559,0.9237855944450089,0.8603707996077127,0.8735632183394405,0.8288707799074406,0.8265012187987449,0.6096932801879605
ENSG00000111669,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000196511,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000137364,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000115705,10.572427634665045,11.00589907876087,10.38572559272507,10.978051589691674,10.850243774815112,10.617856166874851,11.647498725307036
ENSG00000166340,3.739646336541986,3.73198503488386,3.742194632053421,3.7671143264536235,3.643109540818502,3.660511363568352,3.7857529534203085
ENSG00000047410,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000172236,0.6308327598367549,0.6326720396851553,0.6184265009863718,0.5973761592000005,0.6034950286496856,0.6291943450031897,0.672634271156811
ENSG00000095917,0.369167240163245,0.3673279603148447,0.3815734990136282,0.40262384079999947,0.39650497135031443,0.3708056549968102,0.3273657288431891
ENSG00000169902,0.5642015004152802,0.5505344993734979,0.533050547857555,0.5473309608111397,0.5914211438414292,0.5405912716309818,0.5151157298882835
ENSG00000128294,0.4357984995847197,0.4494655006265021,0.46694945214244515,0.4526690391888602,0.4085788561585708,0.4594087283690183,0.48488427011171653
ENSG00000132958,4.043062201086556,3.6985981304692084,4.055369127093273,3.9540540547157828,4.374340949243706,4.069043760931522,3.2477725926786856
ENSG00000131653,0.00809807460487609,0.008151953275108002,0.007878442546528705,0.00829518894640992,0.007165555486669992,0.00768329209636082,0.007545202465246332
ENSG00000107614,0.776335390685058,0.8169079868030118,0.8035448070129314,0.6992125984196873,0.6841085271744056,0.7065680620717122,0.7360824741900054
ENSG00000118094,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000213689,0.8145072659441235,0.8207306712653115,0.8375000000936461,0.8124339184347869,0.8352570828257078,0.8399361486529344,0.7190131656065555
ENSG00000183479,0.6506288923352498,0.6728971962435104,0.6661290321325453,0.7096637767970108,0.6752360965977997,0.6428675082989216,0.8022773098811882
ENSG00000072657,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000154370,0.00738037572767004,0.007253397999482784,0.007498575499137619,0.007256831960910869,0.008239190555491948,0.007799362461602209,0.014170887097589785
ENSG00000119401,0.006230187302334591,0.007155964294896912,0.006146248813075611,0.00612902849570447,0.007817405349427228,0.00694157413986994,0.005170497514447617
ENSG00000197323,0.010272211261799714,0.009359048614540457,0.008186134853705585,0.008458525999127574,0.008598666583436401,0.009291291325912597,0.00966209867730643
ENSG00000132256,0.007307904506591614,0.007892130062879034,0.007479582147056132,0.007777954941097565,0.007237450693394058,0.008031503197878693,0.005677521371298047
ENSG00000158022,0.007728705150007017,0.008189844160939418,0.008767331434888835,0.008120184960429615,0.010755522749684106,0.009441333508055864,0.009544652475286153
ENSG00000153827,0.006407858686073541,0.006219518136299028,0.00624121557348303,0.006206808043589111,0.007031351103244613,0.006347067381746122,0.005181955679775285
ENSG00000043514,1.0,1.0,1.0,1.0,1.0,1.0,1.0
