,reaction_expression
MAR06766,-1.0
MAR06767,-1.0
MAR06768,-1.0
MAR06770,-1.0
MAR06771,-1.0
MAR06772,78.9
MAR06774,24.3
MAR06776,4.1
MAR06778,1.7
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,-1.0
MAR06788,0.2
MAR06789,-1.0
MAR06790,-1.0
MAR06791,-1.0
MAR06792,-1.0
MAR06798,-1.0
MAR06799,-1.0
MAR06800,-1.0
MAR06801,-1.0
MAR06802,-1.0
MAR06803,10.9
MAR06806,-1.0
MAR06807,-1.0
MAR06808,67.9
MAR06811,-1.0
MAR06813,80.7
MAR06814,63.0
MAR06815,-1.0
MAR06817,63.0
MAR06818,-1.0
MAR06819,63.0
MAR06820,-1.0
MAR06822,-1.0
MAR06823,63.0
MAR06824,-1.0
MAR06826,-1.0
MAR06827,-1.0
MAR06828,-1.0
MAR06829,-1.0
MAR06830,-1.0
MAR06831,88.9
MAR06834,-1.0
MAR06835,-1.0
MAR06836,-1.0
MAR06837,-1.0
MAR06838,-1.0
MAR06839,88.9
MAR06840,-1.0
MAR06841,-1.0
MAR06842,-1.0
MAR06843,-1.0
MAR06844,-1.0
MAR06845,88.9
MAR06848,-1.0
MAR06849,-1.0
MAR06850,-1.0
MAR06851,88.9
MAR06854,-1.0
MAR06855,-1.0
MAR06874,10.9
MAR06875,-1.0
MAR06876,-1.0
MAR06877,-1.0
MAR06878,-1.0
MAR06879,-1.0
MAR06880,-1.0
MAR06881,-1.0
MAR06882,-1.0
MAR06883,-1.0
MAR06885,63.0
MAR06886,-1.0
MAR06888,3.7
MAR06889,10.9
MAR07628,67.9
MAR07756,-1.0
MAR08539,-1.0
MAR08794,-1.0
MAR08795,-1.0
MAR08796,-1.0
MAR03875,-1.0
MAR03877,22.6
MAR03879,-1.0
MAR03881,67.1
MAR03912,191.6
MAR03917,18.3
MAR03919,-1.0
MAR03920,255.9
MAR03922,-1.0
MAR03928,24.3
MAR03995,-1.0
MAR03996,-1.0
MAR04072,56.099999999999994
MAR04189,84.8
MAR04302,67.1
MAR04323,-1.0
MAR05381,-1.0
MAR05385,20.4
MAR05386,6.9
