,sample_1,sample_2,sample_3,sample_4
MAR04054,13.6,3.1,9.4,13.4
MAR04061,1.9,3.1,0.7,0.1
MAR04083,38.9,86.10000000000001,154.0,67.8
MAR04136,3269.2999999999997,9702.900000000001,4679.4,15205.699999999999
MAR04180,36.9,42.9,38.4,48.7
MAR04185,52.5,36.8,115.0,34.9
MAR04186,52.5,36.8,115.0,34.9
MAR04342,29.1,15.399999999999999,128.1,49.0
MAR04344,-1.0,-1.0,-1.0,-1.0
MAR04483,27.2,18.4,47.3,40.8
MAR04507,37.0,33.8,48.5,41.3
MAR04516,46.7,98.3,28.2,81.0
MAR04601,62.2,79.9,82.3,108.9
MAR04633,-1.0,-1.0,-1.0,-1.0
MAR04640,25.3,21.5,21.7,39.1
MAR04641,13.6,3.1,9.4,13.4
MAR04680,35.0,70.6,31.1,91.69999999999999
MAR04806,15.6,15.4,17.8,12.7
MAR05394,-1.0,-1.0,-1.0,-1.0
MAR06625,27.2,18.4,47.3,40.8
MAR06626,62.3,70.7,44.6,135.9
MAR07160,139.89999999999998,135.19999999999996,134.5,162.10000000000002
MAR07161,1.9,3.1,4.2,3.3
MAR07162,1.9,3.1,4.2,3.3
MAR07163,15.6,15.4,4.2,11.0
MAR07164,15.6,15.4,4.2,11.0
MAR07713,138.20000000000002,218.2,108.6,306.0
MAR07716,138.20000000000002,218.2,108.6,306.0
MAR07717,138.20000000000002,218.2,108.6,306.0
MAR07721,138.20000000000002,218.2,108.6,306.0
MAR07725,138.20000000000002,218.2,108.6,306.0
MAR07728,138.20000000000002,218.2,108.6,306.0
MAR07800,-1.0,-1.0,-1.0,-1.0
MAR07801,48.6,181.3,303.3,155.2
MAR07802,-1.0,-1.0,-1.0,-1.0
MAR07863,70.0,175.2,235.9,267.0
MAR07864,70.0,175.2,235.9,267.0
MAR07865,70.0,175.2,235.9,267.0
MAR07866,70.0,175.2,235.9,267.0
MAR07867,70.0,175.2,235.9,267.0
MAR07868,70.0,175.2,235.9,267.0
MAR07869,70.0,175.2,235.9,267.0
MAR07870,70.0,175.2,235.9,267.0
MAR07871,70.0,175.2,235.9,267.0
MAR07872,70.0,175.2,235.9,267.0
MAR07873,70.0,175.2,235.9,267.0
