,reaction_expression
MAR03820_f,40.8
MAR03832,-1.0
MAR03833,46.7
MAR03835,46.7
MAR03837,31.1
MAR03895,-1.0
MAR03897,-1.0
MAR03956_f,5.8
MAR03993,-1.0
MAR04073,60.3
MAR04075,33.1
MAR04077,144.0
MAR04190_f,-1.0
MAR04191,-1.0
MAR04212,42.8
MAR04422,42.8
MAR04423,-1.0
MAR04424,3.9
MAR04583_f,15.6
MAR04605,192.5
MAR04606,-1.0
MAR04607,120.6
MAR04776,15.6
MAR04777,15.6
MAR04778,46.7
MAR04779,46.7
MAR04780,46.7
MAR04781,46.7
MAR04784,40.8
MAR04785,40.8
MAR04786,105.0
MAR04787,9.7
MAR05384,21.4
MAR06929_f,853.8
MAR06930_f,853.8
MAR06931,-1.0
MAR06932,-1.0
MAR06933,-1.0
MAR06934,-1.0
MAR06935,-1.0
MAR06936,-1.0
MAR06938_f,853.8
MAR06939_f,853.8
MAR06940_f,-1.0
MAR06941,-1.0
MAR06942,-1.0
MAR06943,-1.0
MAR06944,-1.0
MAR06945,-1.0
MAR06946,-1.0
MAR06947,-1.0
MAR06948,-1.0
MAR06949,-1.0
MAR06950,-1.0
MAR06951,-1.0
MAR06952,-1.0
MAR06953,56.400000000000006
MAR06954,56.400000000000006
MAR06955_f,-1.0
MAR06956_f,-1.0
MAR06957_f,-1.0
MAR06958,1.9
MAR06959,1.9
MAR06960_f,-1.0
MAR06961,1.9
MAR06962,1.9
MAR06963,1.9
MAR06964,1.9
MAR06965_f,19.4
MAR06966_f,19.4
MAR06967_f,19.4
MAR06973_f,56.400000000000006
MAR08096_f,40.8
MAR08097_f,40.8
MAR08098,40.8
MAR08416,-1.0
MAR08425_f,5.8
MAR08426,151.7
MAR08427_f,142.0
MAR08431,-1.0
MAR08432,1.9
MAR08603,853.8
MAR08604,56.4
MAR08605,192.5
MAR08606,-1.0
MAR08607,-1.0
MAR08608,1.9
MAR08609,31.1
MAR08610,3.9
MAR08611,3.9
MAR04285,5.8
MAR00457,7.8
MAR00460,7.8
MAR03750_f,29.2
MAR03752_f,27.2
MAR03770_f,54.400000000000006
MAR03771_f,29.2
MAR03772_f,29.2
MAR03782_f,29.2
MAR03784_f,27.2
MAR03794_f,-1.0
MAR03839_f,44.7
MAR03841_f,17.5
MAR03843,97.2
MAR03845_f,35.0
MAR03847_f,15.6
MAR03849,1.9
MAR03852,-1.0
MAR03856,44.7
MAR03860,-1.0
MAR03883,31.099999999999998
MAR03901,-1.0
MAR03939_f,19.4
MAR03974,31.099999999999998
MAR04198,7.8
MAR04199_f,5.8
MAR04200,31.099999999999998
MAR04284,-1.0
MAR04348,29.2
MAR04466,62.2
MAR04467,7.8
MAR04582_f,31.1
MAR04584_f,142.0
MAR04696,9.7
MAR04697,38.9
MAR04698,38.9
MAR04699,85.6
MAR04700_f,7.8
MAR04742,19.4
MAR04788,15.6
MAR04789,1.9
MAR04791,7.8
MAR04792_f,5.8
MAR04937_f,-1.0
MAR05392,9.7
MAR05393,17.5
MAR06409_f,72.0
MAR07702_f,44.7
MAR07703,5.8
MAR08433,21.4
MAR08434,64.2
MAR08439,7.8
MAR08440,38.9
MAR08441,9.7
MAR08442,-1.0
MAR09718,-1.0
MAR09486,3.9
MAR04426_f,190.60000000000002
MAR04428,5.8
MAR04429,58.3
MAR04430,56.4
MAR04431,107.0
MAR04437,-1.0
MAR04658_f,9.7
MAR04660,-1.0
MAR04712,-1.0
MAR05336_f,229.6
MAR05337_f,64.2
MAR05338,70.0
MAR05339_f,229.6
MAR05340,229.6
MAR08783,-1.0
MAR08784,192.5
MAR08786,124.4
MAR04239,13.6
MAR04241_f,461.0
MAR04288,-1.0
MAR04596_f,-1.0
MAR04597_f,-1.0
MAR04599,83.6
MAR04667,142.0
MAR04668,-1.0
MAR04737,38.9
MAR04739,38.9
MAR04740_f,-1.0
MAR06415,13.6
MAR06974,-1.0
MAR06975,437.6
MAR06976,437.6
MAR06977,437.6
MAR06978,35.0
MAR06979,11.7
MAR06980,5.8
MAR06981,42.8
MAR06982,35.0
MAR06983,29.2
MAR06984,-1.0
