,sample_1,sample_2,sample_3,sample_4,sample_5
"('MAR07745', 'ENSG00000143891')","{'ENSG00000143891': ('ENSG00000143891', 1, 19.5)}","{'ENSG00000143891': ('ENSG00000143891', 1, 15.4)}","{'ENSG00000143891': ('ENSG00000143891', 1, 10.6)}","{'ENSG00000143891': ('ENSG00000143891', 1, 51.6)}","{'ENSG00000143891': ('ENSG00000143891', 1, 196.9)}"
"('MAR07747', 'ENSG00000159322')",{},{},{},{},{}
"('MAR08360', 'ENSG00000121691')","{'ENSG00000121691': ('ENSG00000121691', 1, 66.3)}","{'ENSG00000121691': ('ENSG00000121691', 1, 166.0)}","{'ENSG00000121691': ('ENSG00000121691', 1, 38.3)}","{'ENSG00000121691': ('ENSG00000121691', 1, 435.1)}","{'ENSG00000121691': ('ENSG00000121691', 1, 224.8)}"
"('MAR08652', 'ENSG00000131482 or ENSG00000141349 or ENSG00000152254')",{},{},{},{},{}
"('MAR08757', 'ENSG00000130649')",{},{},{},{},{}
"('MAR03989', 'ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335')","{'ENSG00000171298': ('ENSG00000171298', 0.6531365313653136, 17.7), 'ENSG00000214013': ('ENSG00000214013', 0.34686346863468637, 9.4)}","{'ENSG00000171298': ('ENSG00000171298', 0.2520325203252033, 3.1), 'ENSG00000214013': ('ENSG00000214013', 0.7479674796747967, 9.2)}","{'ENSG00000171298': ('ENSG00000171298', 0.75, 17.4), 'ENSG00000214013': ('ENSG00000214013', 0.25, 5.8)}","{'ENSG00000171298': ('ENSG00000171298', 0.62751677852349, 18.7), 'ENSG00000214013': ('ENSG00000214013', 0.3724832214765101, 11.1)}","{'ENSG00000171298': ('ENSG00000171298', 0.7238493723849373, 17.3), 'ENSG00000214013': ('ENSG00000214013', 0.27615062761506276, 6.6)}"
"('MAR04122', 'ENSG00000109814')","{'ENSG00000109814': ('ENSG00000109814', 1, 10.1)}","{'ENSG00000109814': ('ENSG00000109814', 1, 46.1)}","{'ENSG00000109814': ('ENSG00000109814', 1, 20.1)}","{'ENSG00000109814': ('ENSG00000109814', 1, 239.0)}","{'ENSG00000109814': ('ENSG00000109814', 1, 78.4)}"
"('MAR04837', 'ENSG00000118094 or ENSG00000142102')",{},{},{},{},{}
"('MAR05395', 'ENSG00000056998 or ENSG00000163754')","{'ENSG00000163754': ('ENSG00000163754', 1, 272.4)}","{'ENSG00000163754': ('ENSG00000163754', 1, 30.7)}","{'ENSG00000163754': ('ENSG00000163754', 1, 26.9)}","{'ENSG00000163754': ('ENSG00000163754', 1, 13.8)}","{'ENSG00000163754': ('ENSG00000163754', 1, 18.3)}"
"('MAR05396', 'ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754')","{'ENSG00000163754': ('ENSG00000163754', 1, 272.4)}","{'ENSG00000163754': ('ENSG00000163754', 1, 30.7)}","{'ENSG00000163754': ('ENSG00000163754', 1, 26.9)}","{'ENSG00000163754': ('ENSG00000163754', 1, 13.8)}","{'ENSG00000163754': ('ENSG00000163754', 1, 18.3)}"
"('MAR09727', 'ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281')",{},{},{},{},{}
"('MAR05397', 'ENSG00000114480')","{'ENSG00000114480': ('ENSG00000114480', 1, 91.4)}","{'ENSG00000114480': ('ENSG00000114480', 1, 21.5)}","{'ENSG00000114480': ('ENSG00000114480', 1, 26.9)}","{'ENSG00000114480': ('ENSG00000114480', 1, 64.9)}","{'ENSG00000114480': ('ENSG00000114480', 1, 45.7)}"
"('MAR05398', 'ENSG00000068976 or ENSG00000100504 or ENSG00000100994')","{'ENSG00000100994': ('ENSG00000100994', 1, 77.9)}","{'ENSG00000100994': ('ENSG00000100994', 1, 9.2)}","{'ENSG00000100994': ('ENSG00000100994', 1, 11.9)}","{'ENSG00000100994': ('ENSG00000100994', 1, 3.7)}","{'ENSG00000100994': ('ENSG00000100994', 1, 11.8)}"
"('MAR05399', 'ENSG00000162688')","{'ENSG00000162688': ('ENSG00000162688', 1, 147.9)}","{'ENSG00000162688': ('ENSG00000162688', 1, 18.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 15.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 91.0)}","{'ENSG00000162688': ('ENSG00000162688', 1, 17.5)}"
"('MAR05400', 'ENSG00000162688')","{'ENSG00000162688': ('ENSG00000162688', 1, 147.9)}","{'ENSG00000162688': ('ENSG00000162688', 1, 18.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 15.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 91.0)}","{'ENSG00000162688': ('ENSG00000162688', 1, 17.5)}"
"('MAR05401', 'ENSG00000068976 or ENSG00000100504 or ENSG00000100994')","{'ENSG00000100994': ('ENSG00000100994', 1, 77.9)}","{'ENSG00000100994': ('ENSG00000100994', 1, 9.2)}","{'ENSG00000100994': ('ENSG00000100994', 1, 11.9)}","{'ENSG00000100994': ('ENSG00000100994', 1, 3.7)}","{'ENSG00000100994': ('ENSG00000100994', 1, 11.8)}"
