,reaction_expression
MAR08021,-1.0
MAR08025,5.013
MAR08026,5.013
MAR08027,5.013
MAR08029,2.285
MAR03164,111.9
MAR03166,30.2
MAR03885,276.8
MAR04250,-1.0
MAR08091,160.0
MAR08092,65.00399999999999
MAR08563,311.45500000000004
MAR08564,74.14
MAR08565,-1.0
MAR08566,129.381
MAR03935,-1.0
MAR04681,160.0
MAR04682,65.00399999999999
MAR04683,-1.0
MAR04685,-1.0
MAR04686,-1.0
MAR04687,-1.0
MAR04702,-1.0
MAR04703,-1.0
MAR04704,-1.0
MAR06988,-1.0
MAR07689,76.8627
MAR07701,-1.0
MAR08094,26.06
MAR08529,-1.0
MAR08530,9789.875
MAR08533,-1.0
MAR08534,76.8627
MAR08535,76.8627
MAR08537,-1.0
MAR08541,-1.0
MAR08542,-1.0
MAR08543,-1.0
MAR08544,-1.0
MAR08630,-1.0
MAR08540,-1.0
MAR03206,111.9
MAR03208,40.88
MAR03213,-1.0
MAR03215,-1.0
MAR03747,14.17
MAR03744,1.927
MAR03757,100.45
MAR03761,-1.0
MAR03777,14.17
MAR03778,1.927
MAR03795,-1.0
MAR04797,771.455
MAR06417,-1.0
MAR06419,-1.0
MAR06420,-1.0
MAR06421,-1.0
MAR06422,-1.0
MAR06923,14.17
MAR03765,1.927
MAR06924,-1.0
MAR06925,962.2830000000001
MAR06926,-1.0
MAR06927,-1.0
MAR08088,-1.0
MAR08787,-1.0
MAR03743,-1.0
MAR03940,-1.0
MAR04214,-1.0
MAR04216,-1.0
MAR04218,-1.0
MAR04219,-1.0
MAR04220,-1.0
MAR04222,74.14
MAR04224,-1.0
MAR04225,-1.0
MAR04227,2265.0
MAR04231,0.3321
MAR04232,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,-1.0
MAR04244,74.14
MAR04245,-1.0
MAR04246,74.14
MAR04248,-1.0
MAR06707,160.0
MAR06708,-1.0
MAR06709,-1.0
MAR06711,-1.0
MAR06712,-1.0
MAR06713,65.00399999999999
MAR06714,771.455
MAR06715,99.8
MAR06716,-1.0
MAR06717,-1.0
MAR06718,160.0
MAR06719,65.00399999999999
MAR06720,-1.0
MAR06721,-1.0
MAR06722,-1.0
MAR06723,1520.4940000000001
MAR06725,119.3
MAR06726,-1.0
MAR06727,205.6
MAR06728,-1.0
MAR06729,-1.0
MAR06730,99.8
MAR06731,160.0
MAR06734,-1.0
MAR06735,99.8
MAR06736,99.8
MAR06738,-1.0
MAR06739,99.8
MAR06740,160.0
MAR06741,-1.0
MAR06742,-1.0
MAR06743,-1.0
MAR06744,-1.0
MAR06745,65.00399999999999
MAR06746,99.8
MAR06747,65.00399999999999
MAR06748,-1.0
MAR06749,-1.0
MAR06750,99.8
MAR06751,65.00399999999999
MAR06752,65.00399999999999
MAR06753,-1.0
MAR06754,-1.0
MAR06755,99.8
MAR06756,9789.875
MAR06757,99.8
MAR06758,65.00399999999999
MAR06759,-1.0
MAR06760,-1.0
MAR06761,-1.0
MAR06762,99.8
MAR06763,99.8
MAR06764,65.00399999999999
MAR06765,-1.0
MAR06766,-1.0
MAR06767,-1.0
MAR06768,119.3
MAR06770,-1.0
MAR06771,205.6
MAR06772,-1.0
MAR06774,-1.0
MAR06776,6.454
MAR06778,133.3
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,160.0
MAR06788,99.8
MAR06789,65.00399999999999
MAR06790,-1.0
MAR06791,-1.0
MAR06792,-1.0
MAR06798,6483.9529999999995
MAR06799,6483.9529999999995
MAR06800,6483.9529999999995
MAR06801,6483.9529999999995
MAR06802,-1.0
MAR06803,-1.0
MAR06806,-1.0
MAR06807,-1.0
MAR06808,-1.0
MAR06811,1520.4940000000001
MAR06813,-1.0
MAR06814,158.3
MAR06815,1520.4940000000001
MAR06817,158.3
MAR06818,-1.0
MAR06819,158.3
MAR06820,1520.4940000000001
MAR06822,-1.0
MAR06823,158.3
MAR06824,1520.4940000000001
MAR06826,-1.0
MAR06827,-1.0
MAR06828,6483.9529999999995
MAR06829,78.99000000000001
MAR06830,6483.9529999999995
MAR06831,-1.0
MAR06834,-1.0
MAR06835,-1.0
MAR06836,6483.9529999999995
MAR06837,6483.9529999999995
MAR06838,36.11
MAR06839,-1.0
MAR06840,-1.0
MAR06841,-1.0
MAR06842,6483.9529999999995
MAR06843,6483.9529999999995
MAR06844,36.11
MAR06845,-1.0
MAR06848,-1.0
MAR06849,-1.0
MAR06850,36.11
MAR06851,-1.0
MAR06854,-1.0
MAR06855,-1.0
MAR06874,-1.0
MAR06875,-1.0
MAR06876,-1.0
MAR06877,-1.0
MAR06878,-1.0
MAR06879,-1.0
MAR06880,-1.0
MAR06881,-1.0
MAR06882,-1.0
MAR06883,1520.4940000000001
MAR06885,158.3
MAR06886,1520.4940000000001
MAR06888,-1.0
MAR06889,-1.0
MAR07628,-1.0
MAR07756,-1.0
MAR08539,-1.0
MAR08794,-1.0
MAR08795,-1.0
MAR08796,-1.0
MAR03875,245.6
MAR03877,45.78
MAR03879,-1.0
MAR03881,-1.0
MAR03912,119.3
MAR03917,0.6664
MAR03919,-1.0
MAR03920,-1.0
MAR03922,-1.0
MAR03928,1202.0
MAR03995,63.92
MAR03996,-1.0
MAR04072,2.8618
MAR04189,-1.0
MAR04302,-1.0
MAR04323,-1.0
MAR05381,26.06
MAR05385,-1.0
