,reaction_expression
MAR03847_f,-1.0
MAR03849,-1.0
MAR03852,-1.0
MAR03856,-1.0
MAR03860,-1.0
MAR03883,-1.0
MAR03901,2.019
MAR03939_f,136.9
MAR03974,-1.0
MAR04198,-1.0
MAR04199_f,-1.0
MAR04200,-1.0
MAR04284,-1.0
MAR04348,-1.0
MAR04466,-1.0
MAR04467,-1.0
MAR04582_f,-1.0
MAR04584_f,-1.0
MAR04696,-1.0
MAR04697,1.14
MAR04698,1.14
MAR04699,-1.0
MAR04700_f,-1.0
MAR04742,136.9
MAR04788,7.062
MAR04789,-1.0
MAR04791,-1.0
MAR04792_f,-1.0
MAR04937_f,37.43
MAR05392,78.54
MAR05393,267.7
MAR06409_f,0.1503
MAR07702_f,-1.0
MAR07703,-1.0
MAR08433,-1.0
MAR08434,-1.0
MAR08439,-1.0
MAR08440,1.14
MAR08441,-1.0
MAR08442,-1.0
MAR09718,-1.0
MAR09486,-1.0
MAR04426_f,10.79
MAR04428,128.0
MAR04429,-1.0
MAR04430,74.27
MAR04431,-1.0
MAR04437,-1.0
MAR04658_f,-1.0
MAR04660,-1.0
MAR04712,-1.0
MAR05336_f,0.9683
MAR05337_f,26.18
MAR05338,6.5172
MAR05339_f,0.9683
MAR05340,0.9683
MAR08783,-1.0
MAR08784,766.24
MAR08786,269.44
MAR04239,0.1503
MAR04241_f,3.169
MAR04288,-1.0
MAR04596_f,-1.0
MAR04597_f,-1.0
MAR04599,-1.0
MAR04667,704.2
MAR04668,-1.0
MAR04737,1.14
MAR04739,1.14
MAR04740_f,-1.0
MAR06415,-1.0
MAR06974,-1.0
MAR06975,1.245
MAR06976,1.245
MAR06977,1.245
MAR06978,1.413
MAR06979,-1.0
MAR06980,-1.0
MAR06981,307.1
MAR06982,-1.0
MAR06983,15.98
MAR06984,15.98
MAR06985,15.98
MAR08017,-1.0
MAR08018,-1.0
MAR08019,-1.0
MAR08021,-1.0
MAR08025,3.169
MAR08026,3.169
MAR08027,3.169
MAR08029,1.413
MAR03164,104.1
MAR03166,21.97
MAR03885_f,248.8
MAR04250,-1.0
MAR08091,128.0
MAR08092,74.27
MAR08563,269.44
MAR08564,81.99
MAR08565,-1.0
MAR08566,179.159
MAR03935_f,-1.0
MAR04681,128.0
MAR04682,74.27
MAR04683,-1.0
MAR04685,-1.0
MAR04686_f,-1.0
MAR04687_f,-1.0
MAR04702,-1.0
MAR04703,-1.0
MAR04704,-1.0
MAR06988,-1.0
MAR07689,85.89410000000001
MAR07701,-1.0
MAR08094,29.07
MAR08529,-1.0
MAR08530_f,10325.544
MAR08533,-1.0
MAR08534,85.89410000000001
MAR08535,85.89410000000001
MAR08537,-1.0
MAR08541,-1.0
MAR08542,-1.0
MAR08543,-1.0
MAR08544,-1.0
MAR08630,-1.0
MAR08540,-1.0
MAR03206,104.1
MAR03208,40.63
MAR03213,-1.0
MAR03215,-1.0
MAR03747,9.067
MAR03744,0.7426
MAR03757,72.16
MAR03761,-1.0
MAR03777,9.067
MAR03778,0.7426
MAR03795,-1.0
MAR04797,766.24
MAR06417_f,-1.0
MAR06419,-1.0
MAR06420,-1.0
MAR06421,-1.0
MAR06422,-1.0
MAR06923,9.067
MAR03765,0.7426
MAR06924,-1.0
MAR06925_f,1102.6869
MAR06926_f,-1.0
MAR06927_f,-1.0
MAR08088_f,-1.0
MAR08787,-1.0
MAR03743_f,-1.0
MAR03940,-1.0
MAR04214,-1.0
MAR04216,-1.0
MAR04218,-1.0
MAR04219,-1.0
