,sample_1,sample_2,sample_3,sample_4,sample_5
MAR08446,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08448,73.9,175.2,79.8,235.9,267.0
MAR08449,73.9,175.2,79.8,235.9,267.0
MAR08450,73.9,175.2,79.8,235.9,267.0
MAR08451,73.9,175.2,79.8,235.9,267.0
MAR08452,73.9,175.2,79.8,235.9,267.0
MAR08453,73.9,175.2,79.8,235.9,267.0
MAR08454,73.9,175.2,79.8,235.9,267.0
MAR08455,73.9,175.2,79.8,235.9,267.0
MAR08456,73.9,175.2,79.8,235.9,267.0
MAR08457,73.9,175.2,79.8,235.9,267.0
MAR08458,73.9,175.2,79.8,235.9,267.0
MAR08459,73.9,175.2,79.8,235.9,267.0
MAR08460,73.9,175.2,79.8,235.9,267.0
MAR08461,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08462,73.9,175.2,79.8,235.9,267.0
MAR08463,73.9,175.2,79.8,235.9,267.0
MAR08464,73.9,175.2,79.8,235.9,267.0
MAR08465,73.9,175.2,79.8,235.9,267.0
MAR08466,73.9,175.2,79.8,235.9,267.0
MAR08467,73.9,175.2,79.8,235.9,267.0
MAR08468,73.9,175.2,79.8,235.9,267.0
