,sample_1,sample_2,sample_3,sample_4,sample_5
MAR06610,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06611,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07144,58.3,116.8,77.4,218.3,173.2
MAR08755,-1.0,-1.0,-1.0,-1.0,-1.0
MAR09797,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04016,83.0,255.10000000000002,165.2,227.9,268.7
MAR04018,83.0,255.10000000000002,165.2,227.9,268.7
MAR04044,83.0,255.10000000000002,165.2,227.9,268.7
MAR04291,83.0,255.10000000000002,165.2,227.9,268.7
MAR04420,83.0,255.10000000000002,165.2,227.9,268.7
MAR04570,83.0,255.10000000000002,165.2,227.9,268.7
MAR04572,83.0,255.10000000000002,165.2,227.9,268.7
MAR04006,83.0,255.10000000000002,165.2,227.9,268.7
MAR04028,83.0,255.10000000000002,165.2,227.9,268.7
MAR04030,83.0,255.10000000000002,165.2,227.9,268.7
MAR04670,83.0,255.10000000000002,165.2,227.9,268.7
MAR04673,83.0,255.10000000000002,165.2,227.9,268.7
MAR04675,83.0,255.10000000000002,165.2,227.9,268.7
MAR06614,83.0,255.10000000000002,165.2,227.9,268.7
MAR06615,83.0,255.10000000000002,165.2,227.9,268.7
MAR06616,83.0,255.10000000000002,165.2,227.9,268.7
MAR04635,83.0,255.10000000000002,165.2,227.9,268.7
MAR03793,-1.0,-1.0,-1.0,-1.0,-1.0
MAR03931,88.5,36.9,50.7,67.8,36.9
MAR03969,20.0,24.5,33.0,26.4,34.5
MAR03970,61.0,209.0,113.0,107.69999999999999,304.2
MAR04008,73.9,175.2,79.8,235.9,267.0
MAR04032,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04034,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04036,6.3,27.7,15.4,35.7,23.6
MAR04050,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04056,61.0,209.0,113.0,107.69999999999999,304.2
MAR04059,11.8,12.299999999999999,15.100000000000001,127.4,48.9
MAR04060,11.8,12.299999999999999,15.100000000000001,127.4,48.9
MAR04127,14.4,144.5,53.4,27.2,143.2
MAR04177,61.0,209.0,113.0,107.69999999999999,304.2
MAR04179,61.0,209.0,113.0,107.69999999999999,304.2
MAR04182,104.89999999999999,33.699999999999996,58.2,196.8,79.3
MAR04183,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04192,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04194,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04210,298.0,528.6,180.0,3.8,206.4
MAR04211,14.7,49.2,30.0,35.9,97.8
MAR04343,7.0,12.3,7.9,5.8,18.1
MAR04345,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04346,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04470,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04471,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04472,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04484,61.0,209.0,113.0,107.69999999999999,304.2
MAR04485,1.5,30.7,60.0,80.9,125.8
MAR04510,61.0,209.0,113.0,107.69999999999999,304.2
MAR04512,73.9,175.2,79.8,235.9,267.0
MAR04513,6.6,15.4,16.5,7.3,11.6
MAR04514,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04577,6.3,27.7,15.4,35.7,23.6
MAR04579,10.7,64.5,102.2,22.6,21.9
MAR04580,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04608,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04575,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04637,8.8,21.5,27.7,21.7,39.1
MAR04642,20.5,61.5,29.4,43.7,134.1
MAR04643,200.6,230.5,150.0,119.30000000000001,324.4
MAR04644,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04672,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04676,36.3,42.9,53.8,38.4,48.7
MAR04736,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04819,-1.0,-1.0,-1.0,-1.0,-1.0
MAR05299,36.3,42.9,53.8,38.4,48.7
MAR05352,36.3,42.9,53.8,38.4,48.7
MAR05415,64.4,6.2,27.0,33.6,15.6
MAR05416,64.4,6.2,27.0,33.6,15.6
MAR05417,101.5,89.1,63.5,111.19999999999999,85.3
MAR06612,8.8,21.5,27.7,21.7,39.1
MAR06613,8.8,21.5,27.7,21.7,39.1
