,sample_1,sample_2
"('MAR05401', 'ENSG00000068976 or ENSG00000100504 or ENSG00000100994')","{'ENSG00000068976': ('ENSG00000068976', 0.40113798008534857, 28.2), 'ENSG00000100504': ('ENSG00000100504', 0.017069701280227598, 1.2), 'ENSG00000100994': ('ENSG00000100994', 0.5817923186344239, 40.9)}","{'ENSG00000068976': ('ENSG00000068976', 0.033057851239669415, 1.6), 'ENSG00000100504': ('ENSG00000100504', 0.33264462809917356, 16.1), 'ENSG00000100994': ('ENSG00000100994', 0.634297520661157, 30.7)}"
"('MAR08568', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08569', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08570', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08571', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08572', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08573', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08574', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08575', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
"('MAR08576', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')","{'ENSG00000240038': ('ENSG00000240038', 0.9655797101449276, 53.3), 'ENSG00000243480': ('ENSG00000243480', 0.034420289855072464, 1.9)}","{'ENSG00000240038': ('ENSG00000240038', 1, nan), 'ENSG00000243480': ('ENSG00000243480', 1, nan)}"
