,sample_1,sample_2,sample_3,sample_4,sample_5
ENSG00000054148,4.170773262571001,3.927978396834742,1.810361408265667,2.493775632950523,3.542260670259449
ENSG00000054267,0.412280701754386,0.1762452107279693,0.8597650513950074,0.5751633986928103,0.33168316831683164
ENSG00000055483,0.007965242577842141,0.0054519873373197305,0.035125367065733,0.015493634398270473,0.005883197015353707
ENSG00000055609,0.3428908347759558,0.2507946743561911,0.37853018693634505,0.3410451525637528,0.24097842044368345
ENSG00000058600,2.0,2.0,2.0,2.0,2.0
ENSG00000060762,1.5,1.5,1.4230769230769231,1.3802723347725008,1.3940316686967114
ENSG00000060971,131.27262016292408,136.38530098950991,136.36061075692265,141.45758196036212,139.9891204465343
ENSG00000062485,1.0,1.0,1.0,1.0,1.0
ENSG00000063176,2.329411764705882,2.1260162601626016,2.8840579710144927,3.3553113553113554,2.8269662921348315
ENSG00000063854,2.0,2.0,2.0,2.0,2.0
ENSG00000064601,32.095759581009524,34.36330657452282,32.92800249126374,32.886436641165126,35.61902943712323
ENSG00000065154,1.0,1.0,1.0,1.0,1.0
ENSG00000065427,1.0,1.0,1.0,1.0,1.0
ENSG00000065518,1.0,1.0,1.0,1.0,1.0
ENSG00000065534,1.0,1.0,1.0,1.0,1.0
ENSG00000065615,0.060984570168993384,0.17624521072796936,0.03938053097345132,0.04252916823485133,0.1453924914675768
ENSG00000065621,0.06609696772337822,1.569158858300186,0.29253461491470567,0.09395171805286157,0.4108018328313426
ENSG00000066322,43.8810975609756,60.25581395348834,62.850000000000016,47.10619469026548,54.313609467455606
ENSG00000066379,2.0,2.0,2.0,2.0,2.0
ENSG00000066651,0.7821011673151751,0.39869281045751637,0.42028985507246375,0.7391304347826086,0.6744791666666666
ENSG00000067057,1.0701178288584121,0.8698727015558698,1.7433155080213902,0.03021148036253777,0.24842767295597484
ENSG00000067064,2.0,2.0,2.0,2.0,2.0
ENSG00000067113,1.840088229201824,1.8488169157924494,10.085297725941683,3.540158289194874,4.504970064919621
ENSG00000067225,7.0,7.0,7.0,7.0,7.0
ENSG00000067829,3.620305980528511,6.208103130755064,2.2473222979552094,1.9081225033288942,4.4479503105590075
ENSG00000067992,0.7840909090909091,0.24932249322493225,0.4467213114754099,0.1783166904422254,0.21604503870513722
ENSG00000068001,0.48072463217123523,0.6616052060737526,3.7086771115301658,0.42674573419262085,0.3155107225568161
ENSG00000068120,4.0,4.0,4.0,4.0,4.0
ENSG00000068308,0.003922278542119235,0.0054519873373197305,0.021911000677659807,0.022940187364881095,0.028555029415985072
ENSG00000068366,30.090926160983024,80.76783188522937,50.397989765048386,4.536623803128408,17.81679652517022
ENSG00000068650,15.0,15.0,15.0,15.0,15.0
ENSG00000068745,0.6868686868686869,3.429457364341085,1.8892655367231637,1.85278276481149,2.6424759871931696
ENSG00000068903,0.5065963060686015,0.44010416666666674,0.3906666666666665,0.26180257510729615,0.35294117647058837
ENSG00000069248,1.0763827919227391,1.0288104089219332,1.0467050543825975,1.0403041825095056,1.033637000700771
ENSG00000069849,3.813027165152058e-06,6.596972288781346e-09,0.0012933001700320215,2.4772990586580434e-08,4.238680856355053e-08
