,reaction_expression
MAR07992,-1.0
MAR07993,168.7
MAR07128,42.699999999999996
MAR07129,42.699999999999996
MAR07130,-1.0
MAR07131,71.80000000000001
MAR07132,11.4
MAR07133,-1.0
MAR07134,15.8
MAR07135,-1.0
MAR07136,543.4
MAR07137,15.8
MAR07138,19.8
MAR07139,124.5
MAR07140,-1.0
MAR07141,-1.0
MAR07620,16.700000000000003
MAR07647,-1.0
MAR08640,58.2
MAR08689,-1.0
MAR08690,-1.0
MAR03748,4.6
MAR03753,15.5
MAR03755,122.6
MAR03759,169.3
MAR03763,23.2
MAR03773,26.0
MAR03775,71.2
MAR03780,4.6
MAR03785,15.5
MAR03790,0.6
MAR03792,37.5
MAR03796,460.79999999999995
MAR03823,15.1
MAR06416,4.6
MAR03986,-1.0
MAR03988,35.0
MAR04124,18.0
MAR04158,29.4
MAR04159,6.5
MAR04299,26.3
MAR04300,27.6
MAR04494,42.00000000000001
MAR04524,14.2
MAR04525,9.0
MAR04526,9.0
MAR04527,6.8
MAR04528,9.0
MAR04529,3.4
MAR04530,4.0
MAR04531,-1.0
MAR04532,11.8
MAR04533,-1.0
MAR04534,-1.0
MAR04536,11.8
MAR04628,5.0
MAR04629,1.2
MAR04631,13.6
MAR07696,-1.0
MAR07697,7.7
MAR07698,6.5
MAR08366,-1.0
MAR08367,-1.0
MAR08368,-1.0
MAR08371,3.4
MAR08372,-1.0
MAR08373,161.3
MAR08375,8.4
MAR08376,-1.0
MAR08377,11.8
MAR08672,18.0
MAR08674,-1.0
MAR08675,-1.0
MAR05130,17.3
MAR05131,19.2
MAR05132,20.1
MAR05133,19.5
MAR05134,78.0
MAR05135,22.0
MAR05136,14.9
MAR05137,37.2
MAR05138,18.6
MAR05139,20.7
MAR05140,33.8
MAR05141,28.5
MAR05142,6.8
MAR05143,16.1
MAR05144,16.1
MAR05145,8.7
MAR05146,37.2
MAR05147,15.5
MAR05148,13.6
MAR05149,9.0
MAR05150,8.1
MAR07171,65.0
MAR07172,0.6
MAR07174,-1.0
MAR07175,-1.0
MAR07180,1.9
MAR07181,34.4
MAR07183,0.6
MAR07197,-1.0
MAR07436,478.3
MAR07438,36.9
MAR07440,1.9
MAR08254,-1.0
MAR08255,-1.0
MAR08256,-1.0
MAR08257,1.9
MAR08258,-1.0
MAR08260,-1.0
MAR08261,-1.0
MAR01532,52.0
MAR07254,7.4
MAR07256,4.0
MAR07258,-1.0
MAR07259,-1.0
MAR07260,-1.0
MAR07261,1.2
MAR07263,2.8
MAR07264,6.8
MAR07265,45.2
MAR07266,4.0
MAR07267,6.5
MAR07268,6.5
MAR07269,5.3
MAR07270,5.3
MAR07271,24.4
MAR07274,4.3
MAR07275,24.4
MAR07276,24.7
MAR07277,20.4
MAR07278,10.5
MAR07279,9.3
MAR07280,11.8
MAR07281,21.7
MAR07285,13.6
MAR07286,15.5
MAR07287,16.4
MAR07288,-1.0
MAR07289,126.3
MAR07290,-1.0
MAR07291,126.3
MAR07292,-1.0
MAR07293,126.3
MAR07294,-1.0
MAR07295,-1.0
MAR07296,-1.0
MAR07297,-1.0
MAR07298,-1.0
MAR07299,-1.0
MAR07300,-1.0
MAR07301,-1.0
MAR07302,-1.0
MAR07303,-1.0
MAR07304,-1.0
MAR07305,-1.0
MAR07306,-1.0
MAR07308,126.3
MAR07309,126.3
MAR07310,126.3
MAR07311,126.3
MAR07312,126.3
MAR07313,126.3
MAR07314,126.3
MAR07315,126.3
MAR07316,126.3
MAR07317,126.3
MAR07318,126.3
MAR07319,126.3
MAR07320,126.3
MAR07321,126.3
MAR07322,126.3
MAR07323,9.3
MAR07324,114.9
MAR07325,1.9
MAR07326,-1.0
MAR07327,858.4
MAR07328,63.2
MAR07329,831.1
MAR07332,215.8
MAR07333,46.099999999999994
MAR07334,68.4
MAR07428,43.1
MAR07429,23.2
MAR07574,2.5
MAR07575,17.3
MAR07576,71.30000000000001
MAR07577,5.0
MAR07578,35.0
MAR07580,12.7
MAR07582,12.7
MAR07585,2.5
MAR07586,17.3
MAR07587,35.0
MAR08691,4.0
MAR08692,-1.0
MAR08693,858.4
MAR08694,63.2
MAR08695,-1.0
MAR05151,-1.0
MAR05152,-1.0
MAR05153,-1.0
MAR05154,-1.0
MAR05155,-1.0
MAR05156,-1.0
MAR05157,2.2
MAR05158,-1.0
MAR05159,-1.0
MAR05160,-1.0
MAR05161,-1.0
MAR05162,-1.0
MAR05163,-1.0
MAR05164,40.9
MAR05165,421.1
MAR05166,5.3
MAR05167,-1.0
MAR05168,-1.0
MAR05169,-1.0
MAR05170,-1.0
MAR05171,-1.0
MAR05172,-1.0
MAR05174,-1.0
MAR07282,-1.0
MAR07616,-1.0
MAR07619,49.8
MAR09735,-1.0
MAR07621,-1.0
MAR07622,26.9
MAR07624,0.3
MAR07626,0.3
MAR05258,-1.0
MAR05259,250.09999999999997
MAR05260,-1.0
MAR05261,250.09999999999997
MAR05262,-1.0
MAR05263,250.09999999999997
MAR05264,-1.0
MAR05265,250.09999999999997
MAR05266,-1.0
MAR05267,-1.0
MAR05268,-1.0
MAR05269,-1.0
MAR05270,-1.0
MAR05271,-1.0
MAR05272,250.09999999999997
MAR05273,-1.0
MAR05274,250.09999999999997
MAR05275,-1.0
MAR05276,250.09999999999997
MAR05277,-1.0
MAR05278,250.09999999999997
MAR05279,-1.0
MAR05280,250.09999999999997
MAR05281,-1.0
MAR05282,250.09999999999997
MAR05283,-1.0
MAR05284,250.09999999999997
MAR05285,250.09999999999997
MAR05286,250.09999999999997
MAR05287,250.09999999999997
MAR05288,8.700000000000001
MAR05290,250.09999999999997
MAR05291,-1.0
MAR09817,-1.0
MAR09818,-1.0
MAR05407,33.400000000000006
MAR03851,-1.0
MAR03861,24.8
MAR03866,-1.0
MAR03915,9.0
MAR04084,18.3
MAR04187,18.3
MAR04188,-1.0
MAR04701,25.4
MAR04840,-1.0
MAR04842,1.2
MAR08662,47.7
MAR08663,47.7
MAR08664,71.2
MAR08665,-1.0
MAR08666,80.5
MAR08667,47.7
