,reaction_expression
MAR06740,12.3
MAR06741,-1.0
MAR06742_f,-1.0
MAR06743,-1.0
MAR06744_f,-1.0
MAR06745,110.60000000000001
MAR06746,282.8
MAR06747,110.60000000000001
MAR06748,6.1
MAR06749,6.1
MAR06750,282.8
MAR06751,110.60000000000001
MAR06752,110.60000000000001
MAR06753,6.1
MAR06754,6.1
MAR06755_f,282.8
MAR06756_f,132.1
MAR06757,282.8
MAR06758,110.60000000000001
MAR06759_f,-1.0
MAR06760,6.1
MAR06761,6.1
MAR06762,282.8
MAR06763,282.8
MAR06764,110.60000000000001
MAR06765_f,-1.0
MAR06766,6.1
MAR06767,6.1
MAR06768,249.0
MAR06770,-1.0
MAR06771,2046.9
MAR06772,110.6
MAR06774,86.1
MAR06776,33.8
MAR06778,46.1
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,12.3
MAR06788,282.8
MAR06789,110.60000000000001
MAR06790,6.1
MAR06791,6.1
MAR06792_f,-1.0
MAR06798_f,79.89999999999999
MAR06799,79.89999999999999
MAR06800_f,79.89999999999999
MAR06801,79.89999999999999
MAR06802,-1.0
MAR06803,-1.0
MAR06806_f,-1.0
MAR06807_f,-1.0
MAR06808,713.0
MAR06811_f,4788.5
MAR06813,713.0
MAR06814_f,221.3
MAR06815_f,4788.5
MAR06817_f,221.3
MAR06818,-1.0
MAR06819_f,221.3
MAR06820_f,4788.5
MAR06822,-1.0
MAR06823_f,221.3
MAR06824_f,4788.5
MAR06826_f,-1.0
MAR06827_f,-1.0
MAR06828,79.89999999999999
MAR06829,64.5
MAR06830,79.89999999999999
MAR06831,-1.0
MAR06834_f,-1.0
MAR06835_f,-1.0
MAR06836_f,79.89999999999999
MAR06837,79.89999999999999
MAR06838,43.0
MAR06839,-1.0
MAR06840_f,-1.0
MAR06841_f,-1.0
MAR06842_f,79.89999999999999
MAR06843,79.89999999999999
MAR06844,43.0
MAR06845,-1.0
MAR06848_f,-1.0
MAR06849_f,-1.0
MAR06850,43.0
MAR06851,-1.0
MAR06854_f,-1.0
MAR06855_f,-1.0
MAR06874,-1.0
MAR06875_f,-1.0
MAR06876_f,-1.0
MAR06877_f,-1.0
MAR06878_f,-1.0
MAR06879_f,-1.0
MAR06880_f,-1.0
MAR06881,-1.0
MAR06882_f,-1.0
MAR06883_f,4788.5
MAR06885_f,221.3
MAR06886_f,4788.5
MAR06888,-1.0
MAR06889,-1.0
MAR07628,713.0
MAR07756,9.2
MAR08539,6.1
MAR08794,-1.0
MAR08795,-1.0
MAR08796,73.8
MAR03875,64.60000000000001
MAR03877,39.9
MAR03879,-1.0
MAR03881,6.1
MAR03912_f,249.0
MAR03917,-1.0
MAR03919_f,6.1
MAR03920_f,9.2
MAR03922_f,-1.0
MAR03928,135.2
MAR03995_f,92.2
MAR03996_f,-1.0
MAR04072,24.5
MAR04189,9.2
MAR04302,6.1
MAR04323,-1.0
MAR05381,-1.0
MAR05385,-1.0
MAR05386,150.6
MAR05387,67.6
MAR05388,728.4
MAR05389,728.4
MAR05390,-1.0
MAR05391,-1.0
MAR05418_f,-1.0
MAR05419_f,-1.0
MAR06515,135.2
MAR06518,135.2
MAR06519_f,2511.0
MAR06520_f,135.2
MAR06523_f,719.1
MAR08062,-1.0
MAR08066_f,249.0
MAR08067_f,58.4
MAR08068_f,491.7
MAR08069_f,316.6
MAR08641,24.5
MAR08682_f,-1.0
MAR08683,6.1
MAR08684_f,58.4
MAR08685,-1.0
MAR03868,3.1
MAR03869,3.1
MAR03889,9.2
MAR03933_f,116.8
MAR03937,328.9
MAR04116,7904.899999999999
MAR04120,7904.899999999999
MAR04121,7904.899999999999
MAR04175,-1.0
MAR04176,-1.0
MAR04324,27.7
MAR04326,21.5
MAR04328,138.29999999999998
MAR04329,138.29999999999998
MAR04708,104.5
MAR08769,-1.0
MAR08770,104.5
MAR08771,-1.0
MAR04078,-1.0
MAR04079,362.70000000000005
MAR04174,-1.0
MAR04330_f,6.1
MAR04347,3.1
MAR04425,-1.0
MAR04427,141.4
MAR04688,362.70000000000005
MAR04689,83.0
MAR04735_f,6.1
MAR07991,-1.0
MAR07992,-1.0
MAR07993,362.70000000000005
MAR07128,36.8
MAR07129,36.8
MAR07130,-1.0
MAR07131_f,92.2
MAR07132,233.6
MAR07133_f,-1.0
MAR07134_f,6.1
MAR07135,-1.0
MAR07136_f,39.9
MAR07137_f,6.1
MAR07138,40.0
MAR07139_f,64.60000000000001
MAR07140_f,-1.0
MAR07141,-1.0
MAR07620,3.1
MAR07647,3.1
MAR08640,24.5
MAR08689,3.1
MAR08690,3.1
MAR03748,3.1
MAR03753,6.1
MAR03755,92.2
MAR03759,365.8
MAR03763,122.9
MAR03773,27.7
MAR03775_f,95.3
MAR03780,3.1
MAR03785,6.1
MAR03790,3.1
MAR03792_f,24.5
MAR03796_f,73.7
MAR03823_f,338.1
MAR06416,3.1
MAR03986,-1.0
MAR03988,46.1
MAR04124,33.8
MAR04158,73.8
MAR04159_f,27.7
MAR04299,36.9
MAR04300,12.3
MAR04494,21.5
MAR04524,30.7
MAR04525,3.1
MAR04526,3.1
MAR04527_f,12.3
MAR04528,3.1
MAR04529,46.1
MAR04530,9.2
MAR04531,-1.0
MAR04532,49.2
MAR04533,-1.0
MAR04534,-1.0
MAR04536,49.2
MAR04628,27.7
MAR04629,3.1
MAR04631,3.1
MAR07696,-1.0
MAR07697,3.1
MAR07698_f,27.7
MAR08366,-1.0
MAR08367,-1.0
MAR08368,-1.0
MAR08371,46.1
MAR08372,-1.0
MAR08373_f,12.3
MAR08375,-1.0
MAR08376,-1.0
