,sample_1,sample_2,sample_3
MAR04787,8.7,42.0,8.8
MAR05384,21.4,20.8,16.6
MAR06929_f,587.4,1428.3000000000002,298.6
MAR06930_f,587.4,1428.3000000000002,298.6
MAR06931,3.4,0.1,2.0
MAR06932,3.4,0.1,2.0
MAR06933,3.4,0.1,2.0
MAR06934,3.4,0.1,2.0
MAR06935,3.4,0.1,2.0
MAR06936,3.4,0.1,2.0
MAR06938_f,587.4,1428.3000000000002,298.6
MAR06939_f,587.4,1428.3000000000002,298.6
MAR06940_f,-1.0,-1.0,-1.0
MAR06941,3.4,0.1,2.0
MAR06942,3.4,0.1,2.0
MAR06943,3.4,0.1,2.0
MAR06944,3.4,0.1,2.0
MAR06945,3.4,0.1,2.0
MAR06946,3.4,0.1,2.0
MAR06947,3.4,0.1,2.0
MAR06948,3.4,0.1,2.0
MAR06949,3.4,0.1,2.0
MAR06950,3.4,0.1,2.0
MAR06951,3.4,0.1,2.0
MAR06952,3.4,0.1,2.0
MAR06953,29.2,1.6,20.5
MAR06954,29.2,1.6,20.5
MAR06955_f,-1.0,-1.0,-1.0
MAR06956_f,-1.0,-1.0,-1.0
MAR06957_f,-1.0,-1.0,-1.0
MAR06958,1.3,13.399999999999999,2.0
MAR06959,1.3,13.399999999999999,2.0
MAR06960_f,-1.0,-1.0,-1.0
MAR06961,1.3,13.399999999999999,2.0
MAR06962,1.3,13.399999999999999,2.0
MAR06963,1.3,13.399999999999999,2.0
MAR06964,1.3,13.399999999999999,2.0
MAR06965_f,2.8,23.1,18.5
MAR06966_f,2.8,23.1,18.5
MAR06967_f,2.8,23.1,18.5
MAR06973_f,29.2,1.6,20.5
MAR08096_f,9.4,323.4,17.6
MAR08097_f,9.4,323.4,17.6
MAR08098,380.2,167.1,36.1
MAR08416,1.6,17.5,1.0
MAR08425_f,0.1,11.9,1.0
MAR08426,2.4,1.6,27.3
MAR08427_f,1520.4,12.799999999999999,250.8
MAR08431,-1.0,-1.0,-1.0
MAR08432,-1.0,-1.0,-1.0
MAR08603,587.4,1428.3000000000002,298.6
MAR08604,270.8,414.0,15.7
MAR08605,613.6,1478.0,213.79999999999998
MAR08606,-1.0,-1.0,-1.0
MAR08607,-1.0,-1.0,-1.0
MAR08608,-1.0,-1.0,-1.0
MAR08609,48.300000000000004,18.4,16.6
MAR08610,-1.0,-1.0,-1.0
MAR08611,0.5,0.7,7.8
MAR04285,39.9,81.2,11.7
MAR00457,1.3,184.8,1.0
MAR00460,1.3,184.8,1.0
MAR03750_f,-1.0,-1.0,-1.0
MAR03752_f,121.0,666.1,52.7
MAR03770_f,188.2,599.5,49.8
MAR03771_f,-1.0,-1.0,-1.0
MAR03772_f,-1.0,-1.0,-1.0
MAR03782_f,-1.0,-1.0,-1.0
MAR03784_f,121.0,666.1,52.7
MAR03794_f,1.6,17.5,1.0
MAR03839_f,24.9,141.4,23.4
MAR03841_f,-1.0,-1.0,-1.0
MAR03843,482.2,212.8,96.60000000000001
MAR03845_f,2.1,316.6,10.7
MAR03847_f,61.1,68.2,4.9
MAR03849,-1.0,-1.0,-1.0
MAR03852,3.4,0.1,2.0
MAR03856,103.0,949.2,66.4
MAR03860,-1.0,-1.0,-1.0
MAR03883,4.6,3.4,5.9
MAR03901,10.2,1139.8,2.0
MAR03939_f,155.0,267.6,23.4
MAR03974,4.6,3.4,5.9
MAR04198,-1.0,-1.0,-1.0
MAR04199_f,0.1,11.9,1.0
MAR04200,4.6,3.4,5.9
MAR04284,-1.0,-1.0,-1.0
MAR04348,-1.0,-1.0,-1.0
MAR04466,7.0,58.2,23.4
MAR04467,-1.0,-1.0,-1.0
MAR04582_f,32.2,1466.3,57.6
MAR04584_f,1520.4,12.799999999999999,250.8
MAR04696,11.7,41.6,2.0
MAR04697,47.5,86.7,13.7
MAR04698,47.5,86.7,13.7
MAR04699,8.7,389.2,7.8
MAR04700_f,18.6,102.89999999999999,22.5
MAR04742,155.0,267.6,23.4
MAR04788,-1.0,-1.0,-1.0
MAR04789,-1.0,-1.0,-1.0
MAR04791,-1.0,-1.0,-1.0
MAR04792_f,13.1,163.4,5.9
MAR04937_f,4.3,8.6,36.1
MAR05392,11.8,55.8,18.5
MAR05393,1.6,213.0,8.8
MAR06409_f,342.1,82.2,45.9
MAR07702_f,103.0,949.2,66.4
MAR07703,-1.0,-1.0,-1.0
MAR08433,95.3,279.2,35.1
MAR08434,95.3,279.2,35.1
MAR08439,1.3,91.6,1.0
MAR08440,47.5,86.7,13.7
MAR08441,11.7,41.6,2.0
