,sample_1,sample_2,sample_3
"('MAR11745', 'ENSG00000097021 or ENSG00000101473 or ENSG00000112304 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.24793388429752064, 9.0), 'ENSG00000101473': ('ENSG00000101473', 0.15426997245179064, 5.6), 'ENSG00000112304': ('ENSG00000112304', 0.512396694214876, 18.6), 'ENSG00000119673': ('ENSG00000119673', 0.08539944903581266, 3.1)}","{'ENSG00000097021': ('ENSG00000097021', 0.22701149425287356, 15.8), 'ENSG00000101473': ('ENSG00000101473', 0.19827586206896552, 13.8), 'ENSG00000112304': ('ENSG00000112304', 0.4985632183908046, 34.7), 'ENSG00000119673': ('ENSG00000119673', 0.07614942528735631, 5.3)}","{'ENSG00000097021': ('ENSG00000097021', 0.23175965665236056, 5.4), 'ENSG00000101473': ('ENSG00000101473', 0.15450643776824038, 3.6), 'ENSG00000112304': ('ENSG00000112304', 0.5751072961373392, 13.4), 'ENSG00000119673': ('ENSG00000119673', 0.03862660944206009, 0.9)}"
"('MAR11746', 'ENSG00000109424')",{},{},{}
"('MAR11747', '')",{},{},{}
"('MAR11748', '')",{},{},{}
"('MAR11749', 'ENSG00000097021 or ENSG00000112304 or ENSG00000162390 or ENSG00000184227')","{'ENSG00000097021': ('ENSG00000097021', 0.05431502715751358, 9.0), 'ENSG00000112304': ('ENSG00000112304', 0.11225105612552808, 18.6), 'ENSG00000162390': ('ENSG00000162390', 0.7718768859384431, 127.9), 'ENSG00000184227': ('ENSG00000184227', 0.06155703077851539, 10.2)}","{'ENSG00000097021': ('ENSG00000097021', 0.27574171029668415, 15.8), 'ENSG00000112304': ('ENSG00000112304', 0.605584642233857, 34.7), 'ENSG00000162390': ('ENSG00000162390', 0.11169284467713789, 6.4), 'ENSG00000184227': ('ENSG00000184227', 0.006980802792321118, 0.4)}","{'ENSG00000097021': ('ENSG00000097021', 0.16770186335403725, 5.4), 'ENSG00000112304': ('ENSG00000112304', 0.4161490683229813, 13.4), 'ENSG00000162390': ('ENSG00000162390', 0.30434782608695654, 9.8), 'ENSG00000184227': ('ENSG00000184227', 0.11180124223602483, 3.6)}"
"('MAR11750', '')",{},{},{}
"('MAR11751', '')",{},{},{}
"('MAR11752', 'ENSG00000097021 or ENSG00000101473 or ENSG00000112304 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.24793388429752064, 9.0), 'ENSG00000101473': ('ENSG00000101473', 0.15426997245179064, 5.6), 'ENSG00000112304': ('ENSG00000112304', 0.512396694214876, 18.6), 'ENSG00000119673': ('ENSG00000119673', 0.08539944903581266, 3.1)}","{'ENSG00000097021': ('ENSG00000097021', 0.22701149425287356, 15.8), 'ENSG00000101473': ('ENSG00000101473', 0.19827586206896552, 13.8), 'ENSG00000112304': ('ENSG00000112304', 0.4985632183908046, 34.7), 'ENSG00000119673': ('ENSG00000119673', 0.07614942528735631, 5.3)}","{'ENSG00000097021': ('ENSG00000097021', 0.23175965665236056, 5.4), 'ENSG00000101473': ('ENSG00000101473', 0.15450643776824038, 3.6), 'ENSG00000112304': ('ENSG00000112304', 0.5751072961373392, 13.4), 'ENSG00000119673': ('ENSG00000119673', 0.03862660944206009, 0.9)}"
"('MAR11753', 'ENSG00000109424')",{},{},{}
"('MAR11754', '')",{},{},{}
