,sample_1,sample_2,sample_3,sample_4
"('MAR03989', 'ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335')","{'ENSG00000092529': ('ENSG00000092529', 0.11147540983606556, 3.4), 'ENSG00000171298': ('ENSG00000171298', 0.580327868852459, 17.7), 'ENSG00000214013': ('ENSG00000214013', 0.3081967213114754, 9.4)}","{'ENSG00000092529': ('ENSG00000092529', 0.2012987012987013, 3.1), 'ENSG00000171298': ('ENSG00000171298', 0.2012987012987013, 3.1), 'ENSG00000214013': ('ENSG00000214013', 0.5974025974025974, 9.2)}","{'ENSG00000092529': ('ENSG00000092529', 0.10077519379844961, 2.6), 'ENSG00000171298': ('ENSG00000171298', 0.6744186046511627, 17.4), 'ENSG00000214013': ('ENSG00000214013', 0.22480620155038758, 5.8)}","{'ENSG00000092529': ('ENSG00000092529', 0.10778443113772457, 3.6), 'ENSG00000171298': ('ENSG00000171298', 0.5598802395209581, 18.7), 'ENSG00000214013': ('ENSG00000214013', 0.3323353293413174, 11.1)}"
"('MAR04122', 'ENSG00000109814')","{'ENSG00000109814': ('ENSG00000109814', 1, 10.1)}","{'ENSG00000109814': ('ENSG00000109814', 1, 46.1)}","{'ENSG00000109814': ('ENSG00000109814', 1, 20.1)}","{'ENSG00000109814': ('ENSG00000109814', 1, 239.0)}"
"('MAR04837', 'ENSG00000118094 or ENSG00000142102')",{},{},{},{}
"('MAR05395', 'ENSG00000056998 or ENSG00000163754')","{'ENSG00000163754': ('ENSG00000163754', 1, 272.4)}","{'ENSG00000163754': ('ENSG00000163754', 1, 30.7)}","{'ENSG00000163754': ('ENSG00000163754', 1, 26.9)}","{'ENSG00000163754': ('ENSG00000163754', 1, 13.8)}"
"('MAR05396', 'ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754')","{'ENSG00000163754': ('ENSG00000163754', 1, 272.4)}","{'ENSG00000163754': ('ENSG00000163754', 1, 30.7)}","{'ENSG00000163754': ('ENSG00000163754', 1, 26.9)}","{'ENSG00000163754': ('ENSG00000163754', 1, 13.8)}"
"('MAR09727', 'ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281')","{'ENSG00000119938': ('ENSG00000119938', 0.7796963381958916, 261.9), 'ENSG00000173281': ('ENSG00000173281', 0.22030366180410837, 74.0)}","{'ENSG00000119938': ('ENSG00000119938', 0.3369565217391305, 3.1), 'ENSG00000173281': ('ENSG00000173281', 0.6630434782608696, 6.1)}","{'ENSG00000119938': ('ENSG00000119938', 0.11851851851851852, 3.2), 'ENSG00000173281': ('ENSG00000173281', 0.8814814814814815, 23.8)}","{'ENSG00000119938': ('ENSG00000119938', 0.29449248975876197, 64.7), 'ENSG00000173281': ('ENSG00000173281', 0.705507510241238, 155.0)}"
"('MAR05397', 'ENSG00000114480')","{'ENSG00000114480': ('ENSG00000114480', 1, 91.4)}","{'ENSG00000114480': ('ENSG00000114480', 1, 21.5)}","{'ENSG00000114480': ('ENSG00000114480', 1, 26.9)}","{'ENSG00000114480': ('ENSG00000114480', 1, 64.9)}"
"('MAR05398', 'ENSG00000068976 or ENSG00000100504 or ENSG00000100994')","{'ENSG00000100504': ('ENSG00000100504', 0.013924050632911394, 1.1), 'ENSG00000100994': ('ENSG00000100994', 0.9860759493670886, 77.9)}","{'ENSG00000100504': ('ENSG00000100504', 0.39869281045751637, 6.1), 'ENSG00000100994': ('ENSG00000100994', 0.6013071895424836, 9.2)}","{'ENSG00000100504': ('ENSG00000100504', 0.4413145539906103, 9.4), 'ENSG00000100994': ('ENSG00000100994', 0.5586854460093896, 11.9)}","{'ENSG00000100504': ('ENSG00000100504', 0.9417322834645668, 59.8), 'ENSG00000100994': ('ENSG00000100994', 0.05826771653543308, 3.7)}"
"('MAR05399', 'ENSG00000162688')","{'ENSG00000162688': ('ENSG00000162688', 1, 147.9)}","{'ENSG00000162688': ('ENSG00000162688', 1, 18.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 15.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 91.0)}"
"('MAR05400', 'ENSG00000162688')","{'ENSG00000162688': ('ENSG00000162688', 1, 147.9)}","{'ENSG00000162688': ('ENSG00000162688', 1, 18.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 15.4)}","{'ENSG00000162688': ('ENSG00000162688', 1, 91.0)}"
"('MAR05401', 'ENSG00000068976 or ENSG00000100504 or ENSG00000100994')","{'ENSG00000100504': ('ENSG00000100504', 0.013924050632911394, 1.1), 'ENSG00000100994': ('ENSG00000100994', 0.9860759493670886, 77.9)}","{'ENSG00000100504': ('ENSG00000100504', 0.39869281045751637, 6.1), 'ENSG00000100994': ('ENSG00000100994', 0.6013071895424836, 9.2)}","{'ENSG00000100504': ('ENSG00000100504', 0.4413145539906103, 9.4), 'ENSG00000100994': ('ENSG00000100994', 0.5586854460093896, 11.9)}","{'ENSG00000100504': ('ENSG00000100504', 0.9417322834645668, 59.8), 'ENSG00000100994': ('ENSG00000100994', 0.05826771653543308, 3.7)}"
"('MAR08568', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08569', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08570', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08571', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08572', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08573', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08574', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08575', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08576', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08577', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08578', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08579', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08581', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08591', 'ENSG00000214013 or ENSG00000257335')","{'ENSG00000214013': ('ENSG00000214013', 1, 9.4)}","{'ENSG00000214013': ('ENSG00000214013', 1, 9.2)}","{'ENSG00000214013': ('ENSG00000214013', 1, 5.8)}","{'ENSG00000214013': ('ENSG00000214013', 1, 11.1)}"
"('MAR08592', 'ENSG00000171298')","{'ENSG00000171298': ('ENSG00000171298', 1, 17.7)}","{'ENSG00000171298': ('ENSG00000171298', 1, 3.1)}","{'ENSG00000171298': ('ENSG00000171298', 1, 17.4)}","{'ENSG00000171298': ('ENSG00000171298', 1, 18.7)}"
"('MAR08580', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08582', 'ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480')",{},{},{},{}
"('MAR08587', 'ENSG00000214013 or ENSG00000257335')","{'ENSG00000214013': ('ENSG00000214013', 1, 9.4)}","{'ENSG00000214013': ('ENSG00000214013', 1, 9.2)}","{'ENSG00000214013': ('ENSG00000214013', 1, 5.8)}","{'ENSG00000214013': ('ENSG00000214013', 1, 11.1)}"
"('MAR08589', 'ENSG00000171298')","{'ENSG00000171298': ('ENSG00000171298', 1, 17.7)}","{'ENSG00000171298': ('ENSG00000171298', 1, 3.1)}","{'ENSG00000171298': ('ENSG00000171298', 1, 17.4)}","{'ENSG00000171298': ('ENSG00000171298', 1, 18.7)}"
